title,actual_date,service_date_start,sg_service_date_end,day,start_time,bible,desc
Anidhe - Commemoration of all Departed Faithful,2/20/2022,20/2/2022,,Sun,08:45,Luke 12:32-48,"The Sunday before the Great Lent is known as Anide (meaning-departed) Sunday. On this Sunday, the faithful follow the tradition of giving the names of their dear departed ones in writing to be remembered at the Altar, and visiting their graves. These names are remembered by the priest (5 times) at the altar during the Holy Qurbana, in a manner similar to how Moses & Aaron remembered the departed tribes of Israel by carving and carrying their names on stone tablets. ( Exodus 28: 9 - 12). It is also similar to how Judas Maccabeus and the Jews remembered and prayed for the departed & their sins, and looked forward to their resurrection (2 Mac.12: 38 - 45). \nThe liturgical hymn - Grant Rest 0 lord unto them (Karthave Nalkaashwaasam) of the 3rd Qauma of the Night Vigil (Raathri Namaskaram) exhorts and reminds the faithful to give in writing the names of the departed to be remembered in every Holy Eucharist Remembering the departed is a frequent theme in all the liturgies of the Orthodox Church. Thus, on this (Anide) Sunday, the blessings of the departed faithful is sought by praying at their graves and seeking their intercession, so that the faithful may be steadfast in their faith and tradition, and start the Lenten journey to overcome evil.\nThe Old Testament readings of the day throw light on how homage is paid to the departed (Jacob and Moses). However, the New Testament readings emphasize on the need to be humble and faithful, also focusing on the impermanence of human life."\n"Kothine (Pethurtha, Wedding Feast at Cana) | Feast of St. Geevarghese Mar Dionysius Vattasseril",2/27/2022,27/2/2022,,Sun,08:45,John 2:1-11,After knowing the nature of the Holy Trinity through the Season of Denaha (revelation), the Malankara Orthodox Church moves into the Season of Great Lent (third season of the liturgical cycle) to experience the presence of the Lord Jesus Christ while in the flesh.\nThe Church prescribes reading the passage that commemorates the Wedding at Cana from the gospel of St. John (2:1-11), to begin the Great Lent. Rather than using the word miracles, St. John describes this as the beginning of signs performed by Jesus (This denotes that the current occurrence is just a foretaste of a greater truth of the Resurrection that is yet to be experienced). Throughout the Great Lent, the Church commemorates such signs to prepare for the greatest of all occurrences - His Resurrection.\nJesus hereby begins His ministry at Galilee, which had a large Gentile population. Thus, this occasion affirms that the Gospel is meant for all sects of people, and lays an emphasis on the inclusive approach that needs to be adopted within the Church.\nThough Jesus is partially misinterpreted for calling His mother "Woman", His' high regard for His mother and the importance of intercession to her (Theotokos) are also made clear through this Gospel portion. Contrary to the certain modern usages, Woman' is a sacred title in the Scripture, an address conveying deep respect and distinction (Compare Gen 2:23, St. John 4: 21, 8: 10,19: 26,20: 13; Study notes from OSB- St. John 2:3-5).\nCana is called by its other name 'Koth'ne' in the Syriac Bible. Therefore, this Sunday is called Koth'ne Sunday. This Sunday is also the Pethurtha of the Great Lent. The word 'pethurtho' comes from the Syriac root 'ptr' which means 'go away' or 'return from (a banquet). Thus, Pethurtha marks an end to the feasting of 'pathinettida' (18 day period) and the beginning of the Great Lent (through the Service of Shubkono).",
Second Sunday of Great Lent (Leper's Sunday),3/6/2022,6/3/2022,,Sun,08:45,"Luke 5:12-16, 4:40-41",
Third Sunday of Great Lent (Palsy Sunday),3/13/2022,13/3/2022,,Sun,08:45,Mark 2:1-12,
Fourth Sunday of Great Lent (Canaanite Woman),3/20/2022,20/3/2022,,Sun,08:45,Matthew 15:21-31,
Mid Lent,3/22/2022,22/3/2022,,Tue,19:00,John 3:13-21,"The 25th day of the lent which is always a Wednesday is known as mid lent. This is one of the very few days during the great lent when the Holy Qurbana is celebrated on a weekday other than Sunday or Saturday. On this day there is a procession around the church carrying the cross. This is followed by an exaltation of the cross (sleeba aaghosham) facing the four directions; East , West , North and South. Then the cross is placed on a big decorated cross like stand covered with a red cloth (Gogultha) in the middle of the the church. This remains in the church till the Feast of Ascension of our Lord which occurs 40 days after the Kyomtha (Feast of the Resurrection i.e. Easter).\nThe Holy Cross of Our LORD JESUS CHRIST (Golgotha) will be erected at the middle of the Church in remembrance of the lifting of the bronze serpent by Moses in the middle of the Israelite tents. It also symbolizes the Holy Cross erected at Calvary on which JESUS was lifted & crucified thereby Redeeming us from the slavery of sin.",
Feast of Annunciation,3/24/2022,24/3/2022,,Thu,19:00,Luke 1:26-38,
Fifth Sunday of Great Lent (Kpiptho/Crippled Woman),3/27/2022,27/3/2022,,Sun,08:45,Luke 13:10-17, "The fifth Sunday of the Great Lent is called Kpiptho ('crippled') Sunday. All the (three) Gospel readings of this Sunday focus on the unconditional love of God",
Sixth Sunday of Great Lent | (Catholicate Day),4/3/2022,3/4/2022,,Sun,08:45,John 9:1-41,
Fortieth day of Great Lent,4/7/2022,7/4/2022,,Thu,19:00,Matthew 4:1-11,"Of all the types and shadows of the Old Testament, none is as pervasive and important as the shadows revealed in the relationship between ""forty"" and the fulfillment of promises.The number forty is used by God to represent a period of testing or judgment (the length of time necessary to accomplish some major part of Gods plan in his dealings with various portions of mankind). The 40 days of rain in the days of the flood were the judgments of God. The 40 day periods of fasting, testing, and communing with God that were faced by Moses and Jesus were a form of God's judgments. The forty years that the Israelites spent in the wilderness were also the judgments of God. Various leaders in Israel who reigned for 40 year periods were put there by God according to His Will and Judgments.\nWe all have done our 40 days Noyambu (lent) to rejuvenate the holy spirit, now we walk with master the God, with his strength, with his power and with truth. hence, it's worth enough to us to reminiscence the Hosanna to Resurrection of Jesus the Savior.",
Saturday before Hosanna (Lazarus' Saturday),4/9/2022,9/4/2022,,Sat,07:30,John 11:28-46,"On this Saturday we remember how our Lord Jesus Christ raised His friend Lazarus from the dead. He knew Lazarus was grievously ill, but He waited till he died before He answered Martha and Mary's call for Him. Only after four days did He bring Lazarus back to life, so that His disciples would see.\nHe had power over life and death and was indeed "the Resurrection and the Life." It was this miracle that prepared the way for Christ's triumphant entry into Jerusalem and gave us the certain assurance of the physical resurrection of all the dead. Lazarus and his sisters Martha and Mary, the friends of Jesus, had given Him hospitality and served Him many times (Luke 10:38-42; John 12:23). They were from Bethany, a village of Judea. He asked, "Where have ye laid him?" and He wept over him. When He drew nigh to the tomb, He commanded that they remove the stone, and He lifted up His eyes, and giving thanks to God the Father, He cried out with a loud voice, "Lazarus, come forth." And he that had been dead for four days came forth immediately, bound hand and foot with the grave clothes, and Jesus said to those standing there, "Loose him, and let him go." This is the supernatural wonder wrought by the Saviour that we remember on this day. In Malankara, we call this day as 'Kozhukkatta Perunnal'.",
Cathedral Convention,4/9/2022,9/4/2022,,Sat,19:30,,
Hosanna - Palm Sunday (Boys & Girls Day),4/10/2022,10/4/2022,,Sun,08:45,John 12:12-19,"The seventh Sunday of the Great Lent is known as Hosanna Sunday (or Palm Sunday). On this day, the Malankara Orthodox Church commemorates the triumphant entry of Christ into Jerusalem on a colt. All believers (like the Jews then) come together to celebrate the arrival of the Messiah, by offering flowers & palm leaves and by shouting praises with hymns of 'Hosanna' (Save us O Lord).\nThe themes of this day include:\n(1) the receiving the Messiah who has come triumphantly to 'Save us'; (2) praying for the biosphere (The liturgical calendar is set in tune with the seasonal variations in nature. Here, there are prayers for living organisms)\n(3) To imbibe the virtues of 'humility. The (evening) Sedro prayer of Hosanna Tuesday (38th day of Lent) proclaims this 'Instead of the Chariot of Cherubim, which carry You, Your Father, and Your Holy Spirit, Your grace humbled Yourself to take a wretched colt of donkey for your ride on this earth. By this You suppressed the pride of the devils and the demons.'\nHighlights of the order of Services:\n• All offices of prayers (namaskarams) which include petitions of Hosanna.\n• Reading of the Gospel 6 times ceremonially with hymns and showering of flowers\n• Procession with palm leaves commemorating Messiah's triumphant entry (to Jerusalem)\n• Blessing of palm leaves.\n• Exaltation of the Cross.\n• Holy Eucharist.\n,The Altar, Mnortho, Evangelion table and other sacred spaces of the Church are decorated with the blessed palm leaves. The faithful may take these palm leaves (to their homes, workplaces, granaries, farms, etc.) as a sign of blessing, and return them on the Feast of Nativity (Yeldho Perunnal) when it is offered in the Service by Fireside.\nThe celebration of Holy Eucharist on Hosanna also signifies the beginning of the passion week'. After the Hosanna services, the colourful veil, chitola, Golgotha gets a black attire and the mood is set sombre to indicate the forthcoming passion of our lord.\nLet us shout out 'O Lord, Son of David - Hosanna!'"
Maundy Thursday (Feast of Passover),4/13/2022,13/4/2022,,Wed,18:45,Luke 22:14-30,
Good Friday,4/15/2022,15/4/2022,,Fri,08:00,,
Holy Saturday (Saturday of Good Tidings),4/16/2022,16/4/2022,,Sat,09:00,Matthew 27:62-66,
Easter - Feast of Resurrection,4/16/2022,16/4/2022,,Sat,18:00,Matthew 28:1-20,
New Sunday (The Sunday of the Youth),4/24/2022,24/4/2022,,Sun,08:45,John 20:19-31,
First Sunday after New Sunday,5/1/2022,1/5/2022,,Sun,08:45,John 21:1-14,
Second Sunday after New Sunday,5/8/2022,8/5/2022,,Sun,08:45,John 21:15-19,
Third Sunday after New Sunday,5/15/2022,15/5/2022,,Sun,08:45,Luke 24:13-35,
Fourth Sunday after New Sunday,5/22/2022,22/5/2022,,Sun,08:45,Luke 9:51-62,
Ascension of our Lord Jesus Christ,5/25/2022,25/5/2022,,Wed,19:00,Luke 24:36-53,
Sunday before Pentecost (Sunday of the Monks),5/29/2022,29/5/2022,,Sun,08:45,John 17:13-26,
Feast of Pentecost (Sunday School Day),6/5/2022,5/6/2022,,Sun,08:00,John 15:1-14,
First Sunday after Feast of Pentecost,6/12/2022,12/6/2022,,Sun,08:45,John 6:26-35,
Second Sunday after Feast of Pentecost,6/19/2022,19/6/2022,,Sun,08:45,Matthew 10:5-16,
Third Sunday after Feast of Pentecost,6/26/2022,26/6/2022,,Sun,08:45,John 6:35-46,
Dukharono of St. Thomas (Fourth Sunday after Feast of Pentecost),7/3/2022,3/7/2022,,Sun,08:00,Mathew 5:21-26,Cathedral feast. Churches in India celibrate St Thomas day on July 3rd every year.On this date the Holy relics of St. Thomas was brought to Edessa in the later part of 4th Century
Fifth Sunday after Feast of Pentecost (Mission Sunday),7/10/2022,10/7/2022,,Sun,08:45,Luke 9:10-17,
Sixth Sunday after Feast of Pentecost,7/17/2022,17/7/2022,,Sun,08:45,Matthew 15:32-39,
Seventh Sunday after Feast of Pentecost,7/24/2022,24/7/2022,,Sun,08:45,Mark 3:20-30,
Eighth Sunday after Feast of Pentecost,7/31/2022,31/7/2022,,Sun,08:45,John 6:47-59,
Koodara Perunal (Feast of Transfiguration),8/6/2022,6/8/2022,,Sat,08:45,Luke 9:27-36,
First Sunday after Feast of Transfiguration,8/7/2022,7/8/2022,,Sun,08:45,Matthew 21:28-32,
Second Sunday after Feast of Transfiguration,8/14/2022,14/8/2022,,Sun,08:45,"Luke 12:13-21, 35-44",
Dormition of St. Mary,8/14/2022,14/8/2022,,Sun,19:00,John 19:25-27,
First Sunday after the Feast of the Assumption of St. Mary,8/21/2022,21/8/2022,,Sun,08:45,Luke 6:39-45,
Second Sunday after the Feast of the Assumption of St. Mary,8/28/2022,28/8/2022,,Sun,08:45,Luke 11:9-20,
Third Sunday after the Feast of the Assumption of St. Mary,9/4/2022,4/9/2022,,Sun,08:45,Matthew 17:22-27,
Nativity of St. Mary,9/7/2022,7/9/2022,,Wed,19:00,Matthew 5:38-48,
Fourth Sunday after the Feast of the Assumption of St. Mary,9/11/2022,11/9/2022,,Sun,08:45,Luke 1:26-38,
Sleeba Perunal (The feast of Holy Cross),9/13/2022,13/9/2022,,Tue,19:00,Luke 21:5-28,
First Sunday after the Feast of Holy Cross,9/18/2022,18/9/2022,,Sun,08:45,Mark 13:28-37,
Second Sunday after the Feast of Holy Cross,9/25/2022,25/9/2022,,Sun,08:45,Matthew 16:5-12,
Third Sunday after the Feast of Holy Cross (Seminary Day),10/2/2022,2/10/2022,,Sun,08:45,Mark 2:23-28,
Fourth Sunday after the Feast of Holy Cross,10/9/2022,9/10/2022,,Sun,08:45,Luke 16:9-18,
Fifth Sunday after the Feast of Holy Cross,10/16/2022,16/10/2022,,Sun,08:45,Matthew 23:1-12,
Sixth Sunday after the Feast of Holy Cross,10/23/2022,23/10/2022,,Sun,08:45,Luke 18:18-27,
Koodosh Eetho - Feast of Sanctification of the Church,10/30/2022,30/10/2022,,Sun,08:45,Matthew 16:13-23,
Feast of St. Gregorious of Parumala,1/11/2022,11/1/2022,,Tue,19:00,Matthew 10:34-42,
Hoodhosh Eetho - Feast of Dedication of  the Church ,11/6/2022,6/11/2022,,Sun,08:00,John 10:22-38,Cathedral Harvest Festival
Annunciation to Zachariah (Parent's Day),11/13/2022,13/11/2022,,Sun,08:45,Luke 1:5-25,
"Annunciation to St. Mary, The Mother of God",11/20/2022,20/11/2022,,Sun,08:45,Luke 1:26-38,
St. Mary's visit to Elizabeth (Women's day),11/27/2022,27/11/2022,,Sun,08:45,Luke 1:39-56,
Birth of John the Baptist (Children's Day),12/4/2022,4/12/2022,,Sun,08:45,Luke 1:57-80,
Annunciation to St. Joseph,12/11/2022,11/12/2022,,Sun,08:45,Matthew 1:18-25,
Sunday before Christmas,12/18/2022,18/12/2022,,Sun,08:45,Luke 3:23-38,
Martyrdom of St. Thomas,12/20/2022,20/12/2022,,Tue,19:00,John 20:19-31,
Yeldho/Incarnation of our Lord (Christmas) | Feast of Nativity of our Lord,12/25/2022,25/12/2022,,Sun,08:00,Matthew 2:1-12,
"Circumcision of our Lord, Feast of St. Basil and St. Gregory, New Year",12/31/2022,31/12/2022,,Sat,19:00,John 15:5-19,
